,название,полное название,издательство,год основания,рецензируемый,выпусков в год,импакт-фактор jcr,статей в выпуске,импакт-фактор ринц 2018,сокращение,страна,город,регион,issn печатной версии,подписной индекс,тираж,вариант представления,www-адрес,isi,всего статей,в настоящее время,scopus,всего выпусков,доступный архив,ринц,полных текстов,реферативный,перечень вак,цитирований,мультидисциплинарный,rsci,esci,doaj,crossref,ядро ринц,web of science,префикс doi,базы данных
39,2002 International Conference on Computational Nanoscience and Nanotechnology - ICCN 2002,2002 international conference on computational nanoscience and nanotechnology - iccn 2002,-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,1,нет,нет,-,нет,-,-,-,-,-
40,2002 International Conference on Modeling and Simulation of Microsystems - MSM 2002,2002 international conference on modeling and simulation of microsystems - msm 2002,-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,2,нет,нет,-,нет,-,-,-,-,-
41,"2003 IEEE Power Engineering Society General Meeting, Conference Proceedings","2003 ieee power engineering society general meeting, conference proceedings",-,-,-,-,нет,-,нет,-,сша,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,1,нет,нет,-,нет,-,-,-,-,-
42,2003 International Mechanical Pulping Conference,2003 international mechanical pulping conference,-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
43,2003 Nanotechnology Conference and Trade Show - Nanotech 2003,2003 nanotechnology conference and trade show - nanotech 2003,-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,25,не выходит,нет,3,2003 - 2003,нет,0,нет,-,22,нет,нет,-,нет,-,-,-,-,-
44,"2004 2nd International IEEE Conference ""Intelligent Systems"" - Proceedings","2004 2nd international ieee conference ""intelligent systems"" - proceedings",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,1,выходит,нет,1,2004 - 2004,нет,0,нет,-,12,нет,нет,-,нет,-,-,-,-,-
45,2004 2nd International IEEE Conference 'Intelligent Systems' - Proceedings,2004 2nd international ieee conference 'intelligent systems' - proceedings,-,-,-,-,нет,-,нет,-,сша,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,2,нет,нет,-,нет,-,-,-,-,-
46,"2004 7th International Conference on Signal Processing Proceedings, ICSP","2004 7th international conference on signal processing proceedings, icsp",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
47,"2004 AIChE Spring National Meeting, Conference Proceedings","2004 aiche spring national meeting, conference proceedings",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,2,нет,нет,-,нет,-,-,-,-,-
48,"2004 Annual Meeting - Technical and Symposium Papers, American Society of Heating, Refrigerating and Air-Conditioning Engineers","2004 annual meeting - technical and symposium papers, american society of heating, refrigerating and air-conditioning engineers",-,-,-,-,нет,-,нет,-,сша,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
49,2004 Computing Frontiers Conference,2004 computing frontiers conference,-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
50,2004 IEEE Conference on Cybernetics and Intelligent Systems,2004 ieee conference on cybernetics and intelligent systems,-,-,-,-,нет,-,нет,-,сша,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,12,нет,нет,-,нет,-,-,-,-,-
51,"2004 IEEE Conference on Robotics, Automation and Mechatronics","2004 ieee conference on robotics, automation and mechatronics",-,-,-,-,нет,-,нет,-,сша,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,2,нет,нет,-,нет,-,-,-,-,-
52,2004 IEEE International Conference on Multimedia and Expo (ICME),2004 ieee international conference on multimedia and expo (icme),-,-,-,-,нет,-,нет,-,сша,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,13,нет,нет,-,нет,-,-,-,-,-
53,"2004 IEEE International Symposium on Cluster Computing and the Grid, CCGrid 2004","2004 ieee international symposium on cluster computing and the grid, ccgrid 2004",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
54,2004 IEEE International Symposium on Consumer Electronics - Proceedings,2004 ieee international symposium on consumer electronics - proceedings,-,-,-,-,нет,-,нет,-,сша,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
55,2004 IEEE Power Engineering Society General Meeting,2004 ieee power engineering society general meeting,-,-,-,-,нет,-,нет,-,сша,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,482,нет,нет,-,нет,-,-,-,-,-
56,2004 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),2004 ieee/rsj international conference on intelligent robots and systems (iros),-,-,-,-,нет,-,нет,-,сша,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,141,нет,нет,-,нет,-,-,-,-,-
57,2004 International Chemical Recovery Conference,2004 international chemical recovery conference,-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
58,"2004 International Conference on Communications, Circuits and Systems","2004 international conference on communications, circuits and systems",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,3,не выходит,нет,2,2004 - 2004,нет,0,нет,-,10,нет,нет,-,нет,-,-,-,-,-
59,"2004 International Conference on Integrated Circuit Design and Technology, ICICDT","2004 international conference on integrated circuit design and technology, icicdt",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
60,2004 NSTI Nanotechnology Conference and Trade Show - NSTI Nanotech 2004,2004 nsti nanotechnology conference and trade show - nsti nanotech 2004,-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,1,нет,нет,-,нет,-,-,-,-,-
61,2004 SME Annual Meeting Preprints,2004 sme annual meeting preprints,-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
62,2004 TAPPI Paper Summit - Spring Technical and International Environmental Conference,2004 tappi paper summit - spring technical and international environmental conference,-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
63,"2005 Conference on Lasers and Electro-Optics, CLEO","2005 conference on lasers and electro-optics, cleo",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,29,нет,нет,-,нет,-,-,-,-,-
64,"2005 IEEE VLSI-TSA - International Symposium on VLSI Technology - VLSI-TSA-TECH, Proceedings of Technical Papers","2005 ieee vlsi-tsa - international symposium on vlsi technology - vlsi-tsa-tech, proceedings of technical papers",-,-,-,-,нет,-,нет,-,сша,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,1,нет,нет,-,нет,-,-,-,-,-
65,"2005 International Conference on Communications, Circuits and Systems - Proceedings","2005 international conference on communications, circuits and systems - proceedings",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,6,нет,нет,-,нет,-,-,-,-,-
66,"2005 International Conference on Machine Learning and Cybernetics, ICMLC 2005","2005 international conference on machine learning and cybernetics, icmlc 2005",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,19,нет,нет,-,нет,-,-,-,-,-
67,"2007 2nd International Conference on Digital Information Management, ICDIM","2007 2nd international conference on digital information management, icdim",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,4,нет,нет,-,нет,-,-,-,-,-
68,"2010 International Conference on Information and Communication Technology Convergence, ICTC 2010","2010 international conference on information and communication technology convergence, ictc 2010",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
69,"2011 International Conference on ICT Convergence, ICTC 2011","2011 international conference on ict convergence, ictc 2011",-,-,-,-,нет,-,нет,-,сша,-,-,-,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
70,"20th TEKNA International Oil Field Chemistry Symposium (Oslo, Norway, 3/22-25/2009) Proceedings","20th tekna international oil field chemistry symposium (oslo, norway, 3/22-25/2009) proceedings",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
71,21.Yüzyil Dergisi,21.yüzyil dergisi,-,-,-,-,нет,-,нет,-,турция,анкара,-,1307-4148,-,-,-,http://www.21yuzyildergisi.com/,нет,1,выходит,нет,1,2013 - 2013,нет,0,нет,-,1,нет,нет,-,нет,-,-,-,-,-
72,21st Century Music,21st century music,cambridge university press,-,-,-,нет,-,нет,-,сша,-,-,1534-3219,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
73,21st Century: Information and analytical journal,21st century: information and analytical journal,-,2003,да,6,нет,-,нет,21st century,армения,-,-,1829-1104,-,200,-,www.noravank.am,нет,82,выходит,нет,12,2007 - 2012,нет,0,нет,-,2,нет,нет,-,нет,-,-,-,-,-
74,21-й век: информационно-аналитический журнал,21-й век: информационно-аналитический журнал,-,2003,да,6,нет,-,нет,21-й век,армения,-,-,1829-0396,-,-,-,www.noravank.am,нет,155,выходит,нет,27,2003 - 2016,нет,0,нет,-,440,нет,нет,-,нет,-,-,-,-,-
75,21-րդ ԴԱՐ «Նորավանք» գիտակրթական հիմնադրամի» տեղեկատվական-վերլուծական հանդես,21-րդ դար «նորավանք» գիտակրթական հիմնադրամի» տեղեկատվական-վերլուծական հանդես,-,2003,да,6,нет,-,нет,«21-?? ???»,армения,-,-,1829-0051,-,300,-,www.noravank.am,нет,223,выходит,нет,35,2006 - 2015,нет,0,нет,-,110,да (обществ.),нет,-,нет,-,-,-,-,-
76,22nd Picture Coding Symposium,22nd picture coding symposium,-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
77,"24th Annual Southern African Transport Conference, SATC 2005: Transport Challenges for 2010","24th annual southern african transport conference, satc 2005: transport challenges for 2010",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
78,"24th Gulf of Mexico Information Transfer Meeting (New Orleans, LA, Jan. 2007) Proceedings [U.S. Department of the Interior MM","24th gulf of mexico information transfer meeting (new orleans, la, jan. 2007) proceedings [u.s. department of the interior mm",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
79,"25th Society of Core Analysts International Symposium (Austin, TX, 9/18-21/2011) Proceedings","25th society of core analysts international symposium (austin, tx, 9/18-21/2011) proceedings",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
80,2D Materials,2d materials,iop publishing ltd,-,-,-,есть,-,нет,2d materials,сша,-,-,-,-,-,-,-,да,1015,выходит,да,34,2014 - 2021,нет,0,нет,-,18101,нет,нет,-,нет,-,-,-,-,-
81,"2nd International Symposium on Applied Microbiology and Molecular Biology in Oil Systems [ISMOS] (Aarhus, Denmark, 6/17-19/20","2nd international symposium on applied microbiology and molecular biology in oil systems [ismos] (aarhus, denmark, 6/17-19/20",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
82,3 Biotech,3 biotech,-,-,-,-,есть,-,нет,-,швейцария,-,-,2190-572x,-,-,-,http://www.springer.com/chemistry/biotechnology/journal/13205,да,612,выходит,да,66,2013 - 2021,нет,1,нет,-,8266,нет,нет,-,нет,-,-,-,-,-
83,31st Annual ACM SIGUCCS Fall Conference (SIGUSS Conference Proceedings,31st annual acm siguccs fall conference (siguss conference proceedings,-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
84,"33rd Environment Canada Arctic and Marine Oilspill Program [AMOP] Technical Seminar (Halifax, Nova Scotia, 6/7-9/2010) Procee","33rd environment canada arctic and marine oilspill program [amop] technical seminar (halifax, nova scotia, 6/7-9/2010) procee",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
85,"36th Annual Indonesian Petroleum Association Convention [IPA] (Jakarta, Indonesia, 5/23-25/2012) Proceedings","36th annual indonesian petroleum association convention [ipa] (jakarta, indonesia, 5/23-25/2012) proceedings",-,-,-,-,нет,-,нет,-,индонезия,-,-,-,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
86,"36th Annual SPE Nigeria International Conference [NAICE] (Lagos, Nigeria, 8/6-8/2012) Proceedings","36th annual spe nigeria international conference [naice] (lagos, nigeria, 8/6-8/2012) proceedings",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
87,"2nd International Symposium on Applied Microbiology and Molecular Biology in Oil Systems [ISMOS] (Aarhus, Denmark, 6/17-19/20","2nd international symposium on applied microbiology and molecular biology in oil systems [ismos] (aarhus, denmark, 6/17-19/20",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
88,3 Biotech,3 biotech,-,-,-,-,есть,-,нет,-,швейцария,-,-,2190-572x,-,-,-,http://www.springer.com/chemistry/biotechnology/journal/13205,да,612,выходит,да,66,2013 - 2021,нет,1,нет,-,8266,нет,нет,-,нет,-,-,-,-,-
89,31st Annual ACM SIGUCCS Fall Conference (SIGUSS Conference Proceedings,31st annual acm siguccs fall conference (siguss conference proceedings,-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
90,"33rd Environment Canada Arctic and Marine Oilspill Program [AMOP] Technical Seminar (Halifax, Nova Scotia, 6/7-9/2010) Procee","33rd environment canada arctic and marine oilspill program [amop] technical seminar (halifax, nova scotia, 6/7-9/2010) procee",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
91,"36th Annual Indonesian Petroleum Association Convention [IPA] (Jakarta, Indonesia, 5/23-25/2012) Proceedings","36th annual indonesian petroleum association convention [ipa] (jakarta, indonesia, 5/23-25/2012) proceedings",-,-,-,-,нет,-,нет,-,индонезия,-,-,-,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
92,"36th Annual SPE Nigeria International Conference [NAICE] (Lagos, Nigeria, 8/6-8/2012) Proceedings","36th annual spe nigeria international conference [naice] (lagos, nigeria, 8/6-8/2012) proceedings",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
