name;adress
"Федеральное Казенное Учреждение ""военный Комиссариат Свердловской Области""";620108, Область Свердловская, Город Екатеринбург,
"Федеральное Казенное Учреждение ""военный Комиссариат Иркутской Области""";664011, Область Иркутская, Город Иркутск, Улица Ударника Дом 4
Федеральное Казенное Учреждение «военный Комиссариат Республики Крым»;295493, Республика Крым, Город Симферополь, Улица Киевская Дом 152
"Федеральное Казенное Учреждение ""военный Комиссариат Карачаево-черкесской Республики""";369000, Республика Карачаево-черкесская, Город Черкесск, Улица Комсомольская 31
"Федеральное Казенное Учреждение ""военный Комиссариат Республики Калмыкия""";358005, Республика Калмыкия, Город Элиста, Улица В.и.ленина 207
"Федеральное Казенное Учреждение ""военный Комиссариат Республики Ингушетия""";386150, Республика Назрановский, Село Экажево Улица В.джабагиева 1
"Федеральное Казенное Учреждение ""военный Комиссариат Города Санкт-петербурга""";190121, Санкт-петербург, Проспект Английский Дом 8/10
"Федеральное Казенное Учреждение ""военный Комиссариат Магаданской Области""";685000, Область Магаданская, Город Магадан, Улица Советская 14
"Федеральное Казенное Учреждение ""военный Комиссариат Красноярского Края""";660049, Край Красноярский, Город Красноярск, Улица Ленина 64
Военный Комиссариат Верхотурского Уезда; Область Верхотурский, Город Верхотурье, Улица Клубная 2
"Федеральное Казенное Учреждение ""военный Комиссариат Города Севастополя""";299014, Севастополь, Улица Пролетарская Дом 30
"Товарищество Собственников Жилья ""северный""";644007, Область Омская, Город Омск, Улица 5-я северная 197 1
"Федеральное Казенное Учреждение ""военный Комиссариат Курской Области""";305000, Область Курская, Город Курск, Улица Горького 5
"Федеральное Казенное Учреждение ""военный Комиссариат Костромской Области""";156000, Область Костромская, Город Кострома, Площадь Советская 4
"Федеральное Казенное Учреждение ""военный Комиссариат Республики Татарстан""";420073, Республика Татарстан, Город Казань, Улица Аэропортовская 1
"Федеральное Казенное Учреждение ""военный Комиссариат Города Москвы""";129090, Москва, Проспект Мира 15
"Федеральное Казенное Учреждение ""военный Комиссариат Новгородской Области""";173003, Область Новгородская, Город Великий новгород, Улица Бредова-звериная 16
"Федеральное Казенное Учреждение ""военный Комиссариат Республики Дагестан""";367000, Республика Дагестан, Город Махачкала,
"Федеральное Казенное Учреждение ""военный Комиссариат Амурской Области""";675004, Область Амурская, Город Благовещенск, Улица Амурская 162
"Федеральное Казенное Учреждение ""военный Комиссариат Самарской Области""";443010, Область Самарская, Город Самара, Улица Чапаевская 121
"Федеральное Казенное Учреждение ""военный Комиссариат Тамбовской Области""";392023, Область Тамбовская, Город Тамбов, Улица Пионерская 5г
"Федеральное Казенное Учреждение ""военный Комиссариат Калининградской Области""";236029, Область Калининградская, Город Калининград, Улица Озерная 29
Военный Комиссариат Приволжского Района Самарской Области; Область Приволжский, Село Спасское 
"Федеральное Казенное Учреждение ""военный Комиссариат Ярославской Области""";150003, Область Ярославская, Город Ярославль, Улица Кооперативная 12
"Федеральное Казенное Учреждение ""военный Комиссариат Орловской Области""";302040, Область Орловская, Город Орёл, Улица Октябрьская Дом 49а
"Федеральное Казенное Учреждение ""военный Комиссариат Пермского Края""";614015, Край Пермский, Город Пермь, Улица Пермская 41
"Федеральное Казенное Учреждение ""военный Комиссариат Омской Области""";644099, Область Омская, Город Омск, Улица Партизанская 14
"Федеральное Казенное Учреждение ""военный Комиссариат Приморского Края""";690105, Край Приморский, Город Владивосток, Улица Давыдова 11
"Федеральное Казенное Учреждение ""военный Комиссариат Ставропольского Края""";355037, Край Ставропольский, Город Ставрополь, Улица 8 марта 164
"Федеральное Казенное Учреждение ""военный Комиссариат Архангельской Области""";163001, Область Архангельская, Город Архангельск, Улица Суворова 35
"Федеральное Казенное Учреждение ""военный Комиссариат Псковской Области""";180006, Область Псковская, Город Псков, Улица Первомайская 38
"Федеральное Казенное Учреждение ""военный Комиссариат Пензенской Области""";440026, Область Пензенская, Город Пенза, Улица Советская 7
"Федеральное Казенное Учреждение ""военный Комиссариат Рязанской Области""";390046, Область Рязанская, Город Рязань, Улица Фрунзе 27
"Федеральное Казенное Учреждение ""военный Комиссариат Воронежской Области""";394000, Область Воронежская, Город Воронеж, Улица Фридриха энгельса 22
"Федеральное Казенное Учреждение ""военный Комиссариат Томской Области""";634029, Область Томская, Город Томск, Проспект Фрунзе 6
"Федеральное Казенное Учреждение ""военный Комиссариат Владимирской Области""";600021, Область Владимирская, Город Владимир, Улица Стрелецкая Дом 55-а
"Федеральное Казенное Учреждение ""военный Комиссариат Еврейской Автономной Области""";679000, Автономная область Еврейская, Город Биробиджан, Улица Карла маркса 27 3
"Федеральное Казенное Учреждение ""военный Комиссариат Ханты-мансийского Автономного Округа - Югры""";628011, Автономный округ Ханты-мансийский автономный округ - югра, Город Ханты-мансийск, Улица Мира 20
"Федеральное Казенное Учреждение ""военный Комиссариат Тверской Области""";170100, Область Тверская, Город Тверь, Улица Трехсвятская 38
"Федеральное Казенное Учреждение ""военный Комиссариат Волгоградской Области""";400131, Область Волгоградская, Город Волгоград, Улица Краснознаменская 19 а
"Федеральное Казенное Учреждение ""военный Комиссариат Краснодарского Края""";350000, Край Краснодарский, Город Краснодар, Улица Им. гоголя 72
"Федеральное Казенное Учреждение ""военный Комиссариат Республики Хакасия""";655004, Респ Хакасия, Г. Абакан, Ул. Пушкина Д. 152
"Федеральное Казенное Учреждение ""военный Комиссариат Республики Мордовия""";430005, Республика Мордовия, Город Саранск, Улица Республиканская 43
"Федеральное Казенное Учреждение ""военный Комиссариат Удмуртской Республики""";426034, Республика Удмуртская, Город Ижевск, Улица Красногеройская 73
"Федеральное Казенное Учреждение ""военный Комиссариат Республики Марий Эл""";424006, Республика Марий эл, Город Йошкар-ола, Проспект Гагарина 16
"Федеральное Казенное Учреждение ""военный Комиссариат Ивановской Области""";153005, Область Ивановская, Город Иваново, Улица Сарментовой 7
Военный Комиссариат Северо-эвенского Района;686430, Область Северо-эвенский, Поселок городского типа Эвенск Улица Курилова 12
"Федеральное Казенное Учреждение ""военный Комиссариат Оренбургской Области""";460000, Область Оренбургская, Город Оренбург, Улица Кирова 28
"Федеральное Казенное Учреждение ""военный Комиссариат Смоленской Области""";214000, Область Смоленская, Город Смоленск, Улица Маршала жукова 12
"Федеральное Казенное Учреждение ""военный Комиссариат Тульской Области""";300600, Область Тульская, Город Тула, Улица Жаворонкова 3
"Федеральное Казенное Учреждение ""военный Комиссариат Республики Коми""";167016, Республика Коми, Город Сыктывкар, Улица Катаева 7
"Федеральное Казенное Учреждение ""военный Комиссариат Хабаровского Края""";680011, Край Хабаровский, Город Хабаровск, Улица Тихоокеанская 26
"Федеральное Казенное Учреждение ""военный Комиссариат Республики Тыва""";667002, Республика Тыва, Город Кызыл, Улица Абаканская Дом 45
"Федеральное Казенное Учреждение ""военный Комиссариат Белгородской Области""";308015, Область Белгородская, Город Белгород, Проспект Славы Дом 102
"Федеральное Казенное Учреждение ""военный Комиссариат Камчатского Края""";683032, Край Камчатский, Город Петропавловск-камчатский, Улица Семена удалого 42
"Федеральное Казенное Учреждение ""военный Комиссариат Мурманской Области""";183025, Область Мурманская, Город Мурманск, Улица Капитана буркова 4
"Федеральное Казенное Учреждение ""военный Комиссариат Республики Алтай""";649000, Республика Алтай, Город Горно-алтайск, Переулок Спортивный 5
"Федеральное Казенное Учреждение ""военный Комиссариат Липецкой Области""";398000, Область Липецкая, Город Липецк, Улица Интернациональная 10
"Федеральное Казенное Учреждение ""военный Комиссариат Ленинградской Области""";191180, Санкт-петербург, Набережная Реки фонтанки 90
"Федеральное Казенное Учреждение ""военный Комиссариат Калужской Области""";248600, Область Калужская, Город Калуга, Улица Карпова 2
"Федеральное Казенное Учреждение ""военный Комиссариат Челябинской Области""";454091, Область Челябинская, Город Челябинск, Улица Цвиллинга 13
"Федеральное Казенное Учреждение ""военный Комиссариат Московской Области""";117303, Москва, Улица Малая юшуньская 1 2
"Федеральное Казенное Учреждение ""военный Комиссариат Республики Башкортостан""";450008, Республика Башкортостан, Город Уфа, Улица Карла маркса 14
"Федеральное Казенное Учреждение ""военный Комиссариат Алтайского Края""";656056, Край Алтайский, Город Барнаул, Улица Пушкина 40
"Федеральное Казенное Учреждение ""военный Комиссариат Ростовской Области""";344010, Область Ростовская, Город Ростов-на-дону, Улица Города волос 9
"Федеральное Казенное Учреждение ""военный Комиссариат Вологодской Области""";160009, Область Вологодская, Город Вологда, Улица Челюскинцев 34
"Федеральное Казенное Учреждение ""военный Комиссариат Новосибирской Области""";630007, Область Новосибирская, Город Новосибирск, Улица Советская Дом 4а
"Федеральное Казенное Учреждение ""военный Комиссариат Саратовской Области""";410012, Область Саратовская, Город Саратов, Переулок Мирный 12
"Федеральное Казенное Учреждение ""военный Комиссариат Курганской Области""";640021, Область Курганская, Город Курган, Улица Куйбышева 117
"Федеральное Казенное Учреждение ""военный Комиссариат Астраханской Области""";414014, Обл. Астраханская, Г. Астрахань, Пр-кт Губернатора анатолия гужвина Д. 8
"Федеральное Казенное Учреждение ""военный Комиссариат Ульяновской Области""";432000, Область Ульяновская, Город Ульяновск, Улица Ленина 59
"Федеральное Казенное Учреждение ""военный Комиссариат Республики Карелия""";185035, Республика Карелия, Город Петрозаводск, Улица Антикайнена (центр р-н) 19
"Некоммерческое Дачное Товарищество ""юбилейный-93"""; Республика Тахтамукайский, Поселок Новый Улица Ленина
"Некоммерческое Партнерство ""союз Стрелкового Спорта Ямало-ненецкого Автономного Округа"""; Автономный округ Ямало-ненецкий, Город Губкинский,
Военный Комиссариат Ленинского И Среднеахтубинского Районов Волгоградской Области; Область Волгоградская, Город Ленинск, Улица Клары цеткин 6
Военный Комиссариат Железнодорожного, Октябрьского И Центрального Районов Города Барнаул Алтайского Края; Край Алтайский, Город Барнаул, Проспект Строителей 54
Военный Комиссариат Городов Коломна, Озеры, Коломенского И Озерского Районов Московской Области; Область Московская, Город Коломна, Проезд Артиллеристов 5
Военный Комиссариат Г.грозный Чеченской Республики; Республика Чеченская, Город Грозный, Улица Фонтанная 7
Военный Комиссариат Города Архангельск Архангельской Области; Область Архангельская, Город Архангельск, Проспект Троицкий 161
Военный Комиссариат Тляратинского Района Республики Дагестан; Республика Дагестан, Село Тлярата 
Военный Комиссариат Медведевского И Килемарского Районов Республики Марий Эл; Республика Марий эл, Поселок городского типа Медведево Улица Шумелева 14
Военный Комиссариат Лежневского И Савинского Районов Ивановской Области; Область Лежневский, Поселок Лежнево Площадь Советская 28
Военный Комиссариат Г. Комсомольск-на-амуре Хабаровского Края; Край Хабаровский, Город Комсомольск-на-амуре,
Военный Комиссариат Города Новороссийск Краснодарского Края; Край Краснодарский, Город Новороссийск, Улица Ф.энгельса 17
Военный Комиссариат Родниковского И Лухского Районов Ивановской Области; Область Ивановская, Город Родники, Улица Любимова 38
Военный Комиссариат Тасеевского И Дзержинского Районов Красноярского Края; Край Красноярский, Село Тасеево
Военный Комиссариат Советского И Железнодорожного Районов Города Ростов-на-дону; Область Ростовская, Город Ростов-на-дону, Проспект Коммунистический 15
Военный Комиссариат Города Братск Иркутской Области; Область Иркутская, Область Иркутская, Братск, Город Жилой район Центральный Улица Рябиновая 11
Военный Комиссариат Русско-полянского Района; Область Омская, Рабочий поселок Русская поляна
Военный Комиссариат Кусинского Района Челябинской Области; Область Челябинская, Город Куса, Улица Ленина 8
Государственное Учреждение Военный Комиссариат Г.южноуральска; Область Челябинская, Город Южноуральск, Улица Спортивная 15
Военный Комиссариат Города Каменка И Каменского Района Пензенской Области; Область Пензенская, Город Каменка, Переулок Калинина 4
Военный Комиссариат Городищенского Района Пензенской Области; Область Пензенская, Город Городище, Улица Александра матросова 87
Военный Комиссариат Бековского Района; Область Пензенская, Рабочий поселок Беково
Военный Комиссариат Колпнянского Района; Область Колпнянский, Поселок городского типа Колпна Переулок 1-й торговый 1
Военный Комиссариат Шемышейского Района; Область Пензенская, Рабочий поселок Шемышейка Улица Набережная 39
Военный Комиссариат Сормовского Района Г.нижний Новгород; Область Нижегородская, Город Нижний новгород, Улица Васенко 9
Военный Комиссариат Муромцевского Района Омской Области-учреждение; Область Омская, Рабочий поселок Муромцево Улица Ленина 69
Военный Комиссариат Брединского Района; Область Брединский, Поселок Бреды Улица Октябрьская 18
Военный Комиссариат Светлинского Района Оренбургской Области; Область Оренбургская, Рабочий поселок Светлый Улица Строителей 26
Военный Комиссариат Павлоградского И Русско-полянского Районов Омской Области; Область Омская, Рабочий поселок Павлоградка Улица Ленина 45
Военный Комиссариат Города Канаш, Канашского И Янтиковского Районов Чувашской Республики; Чувашия Чувашская республика -, Город Канаш, Улица Полевая 18
Военный Комиссариат Полтавского Района Омской Области; Область Омская, Рабочий поселок Полтавка
Военный Комиссариат Белинского Района Пензенской Области; Область Пензенская, Город Белинский, Улица Садовая
Военный Комиссариат Города Сорочинск И Сорочинского Района Оренбургской Области; Область Оренбургская, Город Сорочинск,
Военный Комиссариат Г. Озерска; Область Челябинская, Город Озерск, Улица Комсомольская 8
Объединенный Военный Комиссариат Г.кузнецк; Область Пензенская, Город Кузнецк, Улица Свердлова 94а
Военный Комиссариат Мокшанского Района; Область Пензенская, Рабочий поселок Мокшан Улица Горького 1
Военный Комиссариат Кировского Района Города Санкт-петербурга; Санкт-петербург, Проспект Стачек 18
Военный Комиссариат Петроградского Района Города Санкт-петербурга; Санкт-петербург, Улица Монетная б. 19
Объединенный Военный Комиссариат Города Исилькуль Омской Области; Область Омская, Город Исилькуль, Улица Ленина 46
Военный Комиссариат Города Заречный Пензенской Области; Область Пензенская, Город Заречный,
Военный Комиссариат Нижнеомского Района; Область Омская, Село Нижняя омка
Военный Комиссариат Дмитровского Района Орловской Области; Область Орловская, Город Дмитровск, Улица Советская 109
Военный Комиссариат Усть-ишимского Района Омской Области; Область Омская, Село Усть-ишим
Военный Комиссариат Г.златоуста; Область Челябинская, Город Златоуст, Проспект Мира 14
Военный Комиссариат Кондольского Района; Область Пензенская, Село Кондоль
Военный Комиссариат Казбековского Района Республики Дагестан; Республика Казбековский, Село Дылым 
Военный Комиссариат Василеостровского Района Города Санкт-петербурга; Санкт-петербург, Проспект Большой во 55 А
Военный Комиссариат Центрального Административного Округа Г.тюмени; Область Тюменская, Город Тюмень,
Военный Комиссариат Ягоднинского Района; Область Магаданская, Поселок Ягодное Улица Ленина 15
Военный Комиссариат Большесельского И Мышкинского Районов Ярославской Области; Область Ярославская, Село Большое село Улица Челюскинцев 1
Военный Комиссариат Усть-лабинского Района Краснодарского Края; Край Краснодарский, Город Усть-лабинск, Улица Октябрьская 84
Военный Комиссариат Инсарского И Кадошкинского Районов Республики Мордовия; Республика Мордовия, Город Инсар, Улица Советская 22
Военный Комиссариат Города Серов,серовского,гаринского И Новолялинского Районов Свердловской Области; Область Свердловская, Город Серов,
Военный Комиссариат Бирилюсского Района Красноярского Края; Край Красноярский, Село Новобирилюссы Улица Школьная 6
Военный Комиссариат Сурского И Карсунского Районов Ульяновской Области; Область Ульяновская, Рабочий поселок Сурское Улица Ленина 51
Военный Комиссариат Орджоникидзевского Района Города Магнитогорска Челябинской Области; Область Челябинская, Город Магнитогорск, Улица Чкалова 6 1
Военный Комиссариат Медынского И Износковского Районов Калужской Области; Область Калужская, Город Медынь, Улица Карла маркса 26
Военный Комиссариат Фрунзенского И Ленинского Районов Г. Иваново Ивановской Области; Область Ивановская, Город Иваново, Улица Арсения 37а
Военный Комиссариат Города Калининграда Калининградской Области; Область Калининградская, Город Калининград, Улица С.тюленина 17/19
Военный Комиссариат Сабинского И Тюлячинского Районов Республики Татарстан; Республика Татарстан, Поселок городского типа Богатые сабы Улица Г.закирова 100
Военный Комиссариат Ленинского И Свердловского Административных Округов Города Иркутск Иркутской Области; Область Иркутская, Город Иркутск, Улица Миронова 58
Военный Комиссариат Города Орск Оренбургской Области; Область Оренбургская, Город Орск,
Военный Комиссариат Города Черногорск И Боградского Района Республики Хакасия; Республика Хакасия, Город Черногорск,
Военный Комиссариат Кузнецкого И Орджоникидзевского Районов Города Новокузнецк Кемеровской Области; Область Кемеровская, Город Новокузнецк, Улица Обнорского 29
Военный Комиссариат Города Тула Тульской Области; Область Тульская, Город Тула, Улица Чапаева 140
Военный Комиссариат Заводского И Советского Районов Г. Орел Орловской Области; Область Орловская, Город Орёл, Улица Маяковского 56
Военный Комиссариат Орловского Района Орловской Области; Область Орловская, Город Орел, Улица Андрианова 3
Военный Комиссариат Г.еманжелинска; Область Челябинская, Город Еманжелинск, Улица Шахтера 22
Военный Комиссариат Лунинского Района Пензенской Области; Область Пензенская, Рабочий поселок Лунино Улица Юбилейная 33
Военный Комиссариат Кайтагского И Дахадаевского Районов Республики Дагестан; Республика Кайтагский, Село Маджалис Улица Алисултанова
Военный Комиссариат Курманаевского Района Оренбургской Области; Область Оренбургская, Село Курманаевка Улица Крестьянская 7
Военный Комиссариат Первомайского Района Оренбургской Области; Область Оренбургская, Поселок Первомайский Улица Советская 22
Военный Комиссариат Октябрьского Района Города Орска; Область Оренбургская, Город Орск, Проспект Ленина 52
Военный Комиссариат Оконешниковского Района; Область Омская, Рабочий поселок Оконешниково Улица Гагарина 32
Военный Комиссариат Одесского Района; Область Омская, Село Одесское Улица Октябрьская 22
Военный Комиссариат Кизильского Района Челябинской Области; Область Челябинская, Село Кизильское Переулок Пожарный 3
Военный Комиссариат Омского Района Омской Области; Область Омский, Поселок Ростовка 
Военный Комиссариат Железнодорожного Округа Города Курска; Область Курская, Город Курск, Улица Рабочая 2-я 20
Военный Комиссариат Октябрьского Района Оренбургской Области; Область Оренбургская, Село Октябрьское
Военный Комиссариат Тамалинского Района; Область Пензенская, Поселок городского типа Тамала Улица Александровская 2
Военный Комиссариат Засвияжского Р-на Г.ульяновска; Область Ульяновская, Город Ульяновск,
Военный Комиссариат Грачевского Района Оренбургской Области; Область Оренбургская, Село Грачевка Улица Тургенева 1
Военный Комиссариат Города Сургута Ханты-мансийского Автономного Округа-югра; Автономный округ Ханты-мансийский автономный округ - югра, Город Сургут, Улица Просвещения 19
Военный Комиссариат Города Миасса Челябинской Области; Область Челябинская, Город Миасс, Шоссе Динамовское 1
Военный Комиссариат Багаевского И Веселовского Районов Ростовской Области; Область Ростовская, Станица Багаевская Улица Подройкина 34
Государственное Учреждение Джейрахский Районный Военный Комиссариат; Республика Ингушетия, Село Джейрах Улица Чикобава 31
Военный Комиссариат Г.назрань И Назрановского Района; Республика Назрановский, Село Экажево Улица Джабогиева 1
Военный Комиссариат Сунженского Района Ри; Республика Сунженский, Станица Орджоникидзевская Улица Ленина 64
Военный Комиссариат Города Малгобек И Малгобекского Района Республики Ингушетия; Республика Ингушетия, Город Малгобек, Улица Промышленная 1
Военный Комиссариат Города Аткарска, Аткарского И Екатериновского Районов Саратовской Области; Область Саратовская, Город Аткарск, Улица Гагарина 50
Военный Комиссариат Алексеевского И Нехаевского Районов Волгоградской Области; Область Волгоградская, Станица Алексеевская Переулок Калинина 6
Военный Комиссариат Октябрьского И Железнодорожного Районов Города Пенза Пензенской Области; Область Пензенская, Город Пенза, Улица Ленина 10
Военный Комиссариат Дзержинского И Центрального Районов Города Волгоград Волгоградской Области; Область Волгоградская, Город Волгоград, Улица Лесогорская 82
Военный Комиссариат Матвеевского Района Оренбургской Области; Область Оренбургская, Село Матвеевка
Военный Комиссариат Кормиловского Района Омской Области; Область Омская, Рабочий поселок Кормиловка Улица Ленина 1
Объединенный Военный Комиссариат Города Ясный Оренбургской Области; Область Оренбургская, Город Ясный, Улица Юбилейная 14
Военный Комиссариат Индустриального И Дзержинского Районов Города Пермь Пермского Края; Край Пермский, Город Пермь, Улица Стахановская 51
Военный Комиссариат Ржаксинского И Жердевского Районов Тамбовской Области; Область Тамбовская, Город Жердевка, Улица Первомайская 51
Военный Комиссариат Вадинского Района; Область Пензенская, Село Вадинск
Военный Комиссариат Правобережного Района; Область Челябинская, Город Магнитогорск, Улица Дружбы 24
Военный Комиссариат Ленинского Района Города Оренбурга; Область Оренбургская, Город Оренбург, Улица Жукова 36
Военный Комиссариат Чесменского Района; Область Чесменский, Село Чесма Улица Лермонтова 35
Военный Комиссариат Гайнского Района Пермского Края; Край Пермский, Поселок Гайны Улица Дзержинского 59
Военный Комиссариат Городов Лангепас И Покачи Ханты-мансийского Автономного Округа; Автономный округ Ханты-мансийский автономный округ - югра, Город Лангепас, Улица Мира 34
Военный Комиссариат Пензенского И Кондольского Районов Пензенской Области; Область Пензенская, Город Пенза, Улица Терновского 117
Военный Комиссариат Октябрьского И Ромненского Районов Амурской Области; Область Амурская, Село Екатеринославка Улица Линейная 53
