Название,Полное название,Сокращенное название,Адрес,Сайт,Почта,Телефон
Российский экономический университет им. Г.В. Плеханова,Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский экономический университет имени Г.В. Плеханова»,РЭУ им. Г.В.Плеханова,"117997, г. Москва, Стремянный переулок, д. 36",http://rea.ru,rector@rea.ru,+78002000836
Государственный университет по землеустройству,Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный университет по землеустройству»,ГУЗ,"105064, г. Москва, ул. Казакова, д. 15",http://www.guz.ru,info@guz.ru,+74992615979
Московский авиационный институт,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский авиационный институт (национальный исследовательский  университет)»,МАИ,"125993, г. Москва, Волоколамское шоссе, д. 4",http://mai.ru,mai@mai.ru,+74991584333
Государственный университет управления,Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный университет управления»,ГУУ,"109542, г. Москва, Рязанский проспект, д. 99",http://guu.ru,inf@guu.ru,+74953778914
Московский архитектурный институт,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский архитектурный институт (государственная академия)»,МАРХИ,"107031, г. Москва, ул. Рождественка, д. 11/4, корп. 1, стр. 4",http://marhi.ru,office@markhi.ru,+74956255082
Московский автомобильно-дорожный государственный технический университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский автомобильно-дорожный государственный технический университет (МАДИ)»,МАДИ,"125319, г. Москва, Ленинградский проспект, д. 64",http://www.madi.ru,info@madi.ru,+74993460168
Национальный исследовательский технологический университет «МИСиС»,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский технологический университет «МИСиС»,МИСиС,"119049, г. Москва, Ленинский проспект, д. 4, стр.1",http://misis.ru,kancela@misis.ru,+74959550032
Московский университет им. С.Ю. Витте,Частное образовательное учреждение высшего образования «Московский университет имени С.Ю. Витте»,МУ им. С.Ю. Витте,"115432, г. Москва, 2-ой Кожуховский проезд, д. 12, стр. 1",http://muiv.ru,info@muiv.ru,+78005500363
Государственный институт русского языка им. А.С. Пушкина,Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный институт русского языка им. А.С. Пушкина»,Гос. ИРЯ им. А.С. Пушкина,"117485, г. Москва, ул. Академика Волгина, д. 6",http://pushkin.institute,inbox@pushkin.institute,+74953308801
Московский финансово-промышленный университет «Синергия»,Негосударственное образовательное частное учреждение высшего образования «Московский финансово-промышленный университет «Синергия»,Университет «Синергия»,"129090, г. Москва, ул. Мещанская, д. 9/14, стр. 1",http://synergy.ru,synergy@synergy.ru,+74958000011
Институт мировых цивилизаций,Негосударственная автономная некоммерческая организация высшего образования «Институт мировых цивилизаций»,ИМЦ,"119049, г. Москва, Ленинский проспект, д. 1/2, корп. 1",http://imc-i.ru,info@imc-i.ru,+78002347720
Московский инновационный университет,Образовательное частное учреждение высшего образования «Московский инновационный университет»,МИУ,"119017, г. Москва, ул. Малая Ордынка, д. 7",http://miu-edu.ru,moscow.priem@mail.ru,+78002501091
Московский государственный лингвистический университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный лингвистический университет»,МГЛУ,"119034, г. Москва, ул. Остоженка, д. 38, стр. 1",http://www.linguanet.ru,info@linguanet.ru,+74992450612
Московский педагогический государственный университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский педагогический государственный университет»,МПГУ,"119991, г. Москва, ул. Малая Пироговская, д. 1, стр. 1",http://mpgu.su,mail@mpgu.su,+74992450310
Институт бизнеса и дизайна,Автономная некоммерческая организация высшего образования «Институт бизнеса и дизайна»,B&amp;D,"129010, г. Москва, Протопоповский переулок, д. 9, стр. 1",http://www.obe.ru,inobe@obe.ru,+74956842530
Российский государственный университет физической культуры,"Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный университет физической культуры, спорта, молодежи и туризма (ГЦОЛИФК)»",РГУФКСМиТ,"105122, г. Москва, Сиреневый бульвар, д. 4",http://www.sportedu.ru,rectorat@rgufk.ru,+74959613111
Московский гуманитарно-экономический университет,Автономная некоммерческая организация высшего образования Московский гуманитарно-экономический университет,МГЭУ,"119049, г. Москва, Ленинский проспект, д. 8, стр. 16",http://mgei.ru,mgei@mail.ru,+74992375540
Российская международная академия туризма — филиал в г. Москва,Московский филиал РМАТ,РМАТ в г. Москва,"105613, г. Москва, Измайловское шоссе, д. 71, корп. 4Г-Д, стр. 5",http://www.mf.rmat.ru,sec.mfrmat@gmail.com,+74957374767
Дипломатическая академия МИД России,Федеральное государственное бюджетное образовательное учреждение высшего образования «Дипломатическая академия Министерства иностранных дел Российской Федерации»,ДА МИД РФ,"119021, г. Москва, ул. Остоженка, д. 53/2, стр. 1",http://www.dipacademy.ru,info.rector@dipacademy.ru,+74999401355
Российский государственный геологоразведочный университет им. С. Орджоникидзе,Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный геологоразведочный университет имени Серго Орджоникидзе»,МГРИ-РГГРУ,"117997, г. Москва, ул. Миклухо-Маклая, д. 23",http://mgri.ru,office@mgri.ru,+74952551510
Московская государственная художественно-промышленная академия им. С.Г. Строганова,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московская государственная художественно-промышленная академия им. С.Г. Строганова»,МГХПА им. С.Г. Строганова,"125080, г. Москва, Волоколамское ш., д. 9",http://mghpu.ru,info@mghpu.ru,+74991587071
Российский государственный гуманитарный университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный гуманитарный университет»,РГГУ,"125047, г. Москва, Миусская площадь, д. 6",http://rggu.ru,rsuh@rsuh.ru,+74952506118
Академия акварели и изящных искусств С. Андрияки,Федеральное государственное бюджетное образовательное учреждение высшего образования «Академия акварели и изящных искусств Сергея Андрияки»,ААиИИ,"117133, г. Москва, ул. Академика Варги, д. 15",http://academy-andriaka.ru,academiya@aaii.ru,+74955315555
Высшая школа народных искусств — филиал в г. Москва,Институт традиционного прикладного искусства - Московский филиал федерального государственного бюджетного образовательного учреждения высшего образования  «Высшая школа народных искусств (академия)»,ВШНИ в г. Москва,"115573, г. Москва, ул. Мусы Джалиля, д. 14, корп. 2",http://www.itpi-mf.ru,info@itpi-mf.ru,+74953952767
Театральный институт им. Б. Щукина,Федеральное государственное бюджетное образовательное учреждение высшего образования «Театральный институт имени Бориса Щукина при Государственном академическом театре имени Евгения Вахтангова»,ТИ им. Б.Щукина,"119002, г. Москва, Большой Николопесковский пер., д. 12а, стр. 1",http://htvs.ru,sh-tea-inst@mail.ru,+74992415644
Академия хорового искусства им. В.С. Попова,Федеральное государственное бюджетное образовательное учреждение высшего образования «Академия хорового искусства имени  В.С. Попова»,АХИ им. В.С. Попова,"125565, г. Москва, ул. Фестивальная, д. 2",http://www.axu.ru,info@axu.ru,+74959889956
Всероссийский государственный институт кинематографии им. С.А. Герасимова,Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт  кинематографии имени С.А. Герасимова»,ВГИК,"129226, г. Москва, ул. Вильгельма Пика, д. 3",http://www.vgik.info,mail@vgik.info,+74991811314
Московская государственная консерватория им. П.И. Чайковского,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московская государственная консерватория имени П.И.Чайковского»,МГК,"125009, г. Москва, ул. Большая Никитская, д. 13/6",http://mosconsv.ru,rectorat@mosconsv.ru,+74956292060
Литературный институт им. А.М. Горького,Федеральное государственное бюджетное образовательное учреждение высшего образования «Литературный институт имени А.М. Горького»,ЛИ им. А.М. Горького,"123104, г. Москва, Тверской бульвар, д. 25",http://litinstitut.ru,rectorat@litinstitut.ru,+74956940678
Высшая школа экономики,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет «Высшая школа экономики»,НИУ ВШЭ,"101000, г. Москва, ул. Мясницкая, д. 20",http://www.hse.ru,hse@hse.ru,+74957713232
Российский государственный аграрный университет – МСХА им. К.А. Тимирязева,Федеральное государственное бюджетное образовательное учреждение  высшего образования «Российский государственный аграрный университет – МСХА имени К.А. Тимирязева»,РГАУ-МСХА,"127550, г. Москва, ул. Тимирязевская, д. 49",http://www.timacad.ru,info@rgau-msha.ru,+74999760480
Московский государственный технический университет гражданской авиации,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный технический университет гражданской авиации» (МГТУ ГА),МГТУ ГА,"125993, г. Москва, Кронштадтский бульвар, д. 20",http://mstuca.ru,info@mstuca.aero,+74994587547
Московский государственный университет геодезии и картографии,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет геодезии и картографии»,МИИГАиК,"105064, г. Москва, Гороховский пер, д. 4",http://miigaik.ru,portal@miigaik.ru,+74993227800
Московский городской университет управления Правительства Москвы,Государственное автономное образовательное учреждение высшего образования «Московский городской университет управления Правительства Москвы»,МГУУ,"107045, г. Москва, ул. Сретенка, д. 28",http://mguu.ru,info@mguu.ru,+74959577575
Московский информационно-технологический университет - Московский архитектурно-строительный институт,Автономная некоммерческая организация высшего образования «Московский информационно-технологический университет - Московский архитектурно-строительный институт»,МИТУ-МАСИ,"109316, г. Москва, Волгоградский проспект, д. 32, корп. 11; ул. Введенского, д. 1А",http://masi.ru,info@masi.ru,+74959255353
Институт экономики и культуры,Частное учреждение образовательная организация высшего образования Институт экономики и культуры,ИЭиК,"105318, г. Москва, ул. Ибрагимова, д. 31, корп. 1",http://ieac.ru,info@ieac.ru,+74957950011
Московская международная академия,Образовательное частное учреждение высшего образования «Московская международная академия»,ММА,"115184, г. Москва, ул. Новокузнецкая, д. 25, эт. 2, пом. 3",http://mmamos.ru,info@mmamos.ru,+74951201022
Российский университет транспорта,Федеральное государственное автономное образовательное учреждение высшего образования «Российский университет транспорта»,РУТ (МИИТ),"127994, г. Москва, ул. Образцова, д. 9, стр. 9",http://miit.ru,tu@miit.ru,+74956811340
Российская экономическая школа,Негосударственное образовательное учреждение высшего образования «Российская экономическая школа» (институт),РЭШ,"121353, г. Москва, Сколковское шоссе, д. 45",http://nes.ru,nes@nes.ru,+74959569508
Московский государственный академический художественный институт им. В.И. Сурикова,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный академический художественный институт имени В.И. Сурикова  при Российской академии художеств»,МГАХИ,"109004, г. Москва, Товарищеский пер., д. 30",http://surikov-vuz.com,mgahi-surikov@yandex.ru,+74959123932
Московский государственный институт музыки им. А.Г. Шнитке,Государственное бюджетное образовательное учреждение высшего образования города Москвы «Московский государственный институт музыки имени А.Г. Шнитке»,МГИМ им. А.Г. Шнитке,"123060, г. Москва, ул. Маршала Соколовского, д. 10",http://schnittke-mgim.ru,info@schnittke.ru,+74991948389
Московский финансово-юридический университет,Аккредитованное образовательное частное учреждение высшего образования «Московский финансово-юридический университет МФЮА»,МФЮА,"115191, г. Москва, ул. Введенского, д. 1А",http://mfua.ru,post@mfua.ru,+74999790099
Российская государственная академия интеллектуальной собственности,Федеральное государственное бюджетное образовательное учреждение высшего образования «Российская государственная академия интеллектуальной собственности»,РГАИС,"117279, г. Москва, ул. Миклухо-Маклая, д. 55А",http://www.rgiis.ru,info@rgiis.ru,+74953301083
Академия труда и социальных отношений,Образовательное учреждение профсоюзов высшего образования «Академия труда и социальных отношений»,АТиСО,"119454, г. Москва, ул. Лобачевского, д. 90",http://www.atiso.ru,rector@atiso.ru,+74994323381
Российская академия адвокатуры и нотариата,Негосударственное образовательное учреждение организация высшего образования «Российская академия адвокатуры и нотариата»,РААН,"105120, г. Москва, Малый Полуярославский пер., д. 3/5, стр.1",http://www.raa.ru,info@raa.ru,+74959163067
Российская академия народного хозяйства и государственной службы при Президенте РФ,Федеральное государственное бюджетное образовательное учреждение высшего образования «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации»,РАНХиГС,"119571, г. Москва, просп. Вернадского, д. 82, стр. 1",http://www.ranepa.ru,information@ranepa.ru,+74999569999
Московский университет МВД РФ им. В.Я. Кикотя,Федеральное государственное казенное образовательное учреждение высшего образования «Московский университет Министерства внутренних дел Российской Федерации имени В.Я. Кикотя»,МУ МВД России,"117997, г. Москва, ул. Академика Волгина, д. 12",http://мосу.мвд.рф,support_mosu@mvd.ru,+74953362244
Институт стран Востока,Образовательное частное учреждение высшего образования «Институт стран Востока»,ИСВ,"107031, г. Москва, ул. Рождественка, д. 12/1, стр. 1; ул. Профсоюзная, д. 23",http://www.orun.ru,ou@orun.ru,+74993981604
Военный университет Минобороны РФ,Федеральное государственное казенное военное образовательное учреждение высшего образования «Военный университет» Министерства обороны Российской Федерации,ВУМО РФ,"123001, г. Москва, ул. Большая Садовая, д. 14",http://vumo.mil.ru,vu-nu@mil.ru,+74956990816
